id,Balkón / loggia,Cena,Identifikačné číslo:,Kategória,Pivnica,Ulica,Úžitková plocha,Výťah,Lokalita,Poschodie,Stav nehnuteľnosti:,Materiál,Stav,Zastavaná plocha
5617195,Nie,"87 999,00 EUR",32867,3 izbový byt / Predaj,Nie,NA,59 m2,Nie,Staré Mesto,NA,NA,NA,kompletná rekonštrukcia,NA
5617494,Nie,"129 900,00 EUR",392,4 izbový byt / Predaj,Nie,NA,110 m2,NA,Podunajské Biskupice,NA,NA,NA,NA,NA
5619796,Nie,"138 000,00 EUR",116867,2 izbový byt / Predaj,Nie,Ľadová,65 m2,Nie,Staré Mesto,NA,NA,tehla,kompletná rekonštrukcia,NA
5620008,Áno,"142 900,00 EUR",24141,3 izbový byt / Predaj,Áno,Exnárova,68 m2,Nie,Ružinov,NA,NA,NA,čiastočná rekonštrukcia,NA
5620009,Áno,"114 990,00 EUR",24186,2 izbový byt / Predaj,Áno,Martinčekova,53 m2,Áno,Ružinov,NA,NA,NA,kompletná rekonštrukcia,NA
5620077,Áno,"120 000,00 EUR",661882,2 izbový byt / Predaj,Áno,Podunajská,61 m2,Nie,Podunajské Biskupice,2 / 3,NA,NA,NA,NA
5620635,Áno,"178 980,00 EUR",24318,2 izbový byt / Predaj,Nie,Staré Mesto,73 m2,Nie,Staré Mesto,NA,NA,NA,čiastočná rekonštrukcia,NA
5620799,Nie,"109 601,00 EUR",Tammi_4e_1i_D173,1 izbový byt / Predaj,Áno,Pri Hrubej lúke,40 m2,Áno,Dúbravka,7 / 8,Novostavba,NA,NA,NA
5620822,Nie,"284 871,00 EUR",Tammi_4e_4i_D282,4 izbový byt / Predaj,Áno,Pri Hrubej lúke,102 m2,Áno,Dúbravka,8 / 8,Novostavba,NA,NA,NA
5620843,Áno,"148 274,00 EUR",Tammi_4e_3i_D121,3 izbový byt / Predaj,Áno,Pri Hrubej lúke,70 m2,Áno,Dúbravka,2 / 8,Novostavba,NA,NA,NA
5620854,Áno,"124 900,00 EUR",661870,1 izbový byt / Predaj,Nie,Kresánkova,57 m2,Áno,Karlova Ves,NA,NA,NA,NA,NA
5621439,Áno,"419 990,00 EUR",BP0493B5,4 izbový byt / Predaj,Áno,Haanova,147 m2,Áno,Petržalka,6 / 6,Novostavba,tehla,NA,NA
5621550,Nie,"110 000,00 EUR",661885,1 izbový byt / Predaj,Nie,Mýtna,35 m2,NA,Staré Mesto,NA,NA,NA,NA,NA
5621577,Áno,"142 962,00 EUR",2C-504,3 izbový byt / Predaj,Nie,Nobelova,67 m2,Áno,Nové Mesto,5 / 9,Novostavba,NA,NA,NA
5621637,Áno,"132 600,00 EUR",P-1650,3 izbový byt / Predaj,Áno,Jasovská,76 m2,Áno,Petržalka,2 / 12,NA,panel,čiastočná rekonštrukcia,NA
5621702,Áno,"102 000,00 EUR",NA,3 izbový byt / Predaj,Áno,Jána Jonáša,65 m2,Áno,Devínska Nová Ves,1 / 12,NA,NA,pôvodný,NA
5621716,Áno,"287 520,00 EUR",AR8830,3 izbový byt / Predaj,Áno,Drotárska cesta,80 m2,Nie,Staré Mesto,4 / 5,Novostavba,tehla,NA,NA
5622155,Nie,"101 374,00 EUR",Pari_1e_1i_A273a,1 izbový byt / Predaj,Áno,Dulovo námestie,24 m2,Áno,Ružinov,7 / 7,NA,NA,kompletná rekonštrukcia,NA
5622194,Nie,"124 181,00 EUR",Pari_1e_2i_A228a,2 izbový byt / Predaj,Áno,Dulovo námestie,43 m2,Áno,Ružinov,2 / 7,NA,NA,kompletná rekonštrukcia,NA
5622230,Áno,"284 945,00 EUR",Pari_1e_4i_A272,4 izbový byt / Predaj,Áno,Dulovo námestie,94 m2,Áno,Ružinov,7 / 7,NA,NA,kompletná rekonštrukcia,NA
5622296,Áno,"121 900,00 EUR",671460,3 izbový byt / Predaj,Nie,Jána Smreka,73 m2,Áno,Devínska Nová Ves,1 / 8,NA,panel,kompletná rekonštrukcia,NA
5622396,Áno,"178 192,00 EUR",A.01.02,2 izbový byt / Predaj,Áno,Pod Vachmajstrom,59 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,vo výstavbe,NA
5622399,Áno,"261 178,00 EUR",C.01.01,3 izbový byt / Predaj,Áno,Pod Vachmajstrom,78 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,vo výstavbe,NA
5622404,Áno,"327 201,00 EUR",A.02.01,4 izbový byt / Predaj,Áno,Pod Vachmajstrom,108 m2,Áno,"Nové Mesto, časť Koliba",2 / 3,Novostavba,iný,vo výstavbe,NA
5622412,Áno,"193 790,00 EUR",A.01.03,2 izbový byt / Predaj,Áno,Pod Vachmajstrom,64 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,vo výstavbe,NA
5622415,Áno,"285 695,00 EUR",B.02.03,3 izbový byt / Predaj,Áno,Pod Vachmajstrom,83 m2,Áno,"Nové Mesto, časť Koliba",2 / 3,Novostavba,iný,vo výstavbe,NA
5622416,Áno,"329 791,00 EUR",A.01.05,4 izbový byt / Predaj,Áno,Pod Vachmajstrom,119 m2,Áno,"Nové Mesto, časť Koliba",1 / 3,Novostavba,iný,vo výstavbe,NA
